steps,date,interval
00,2012-10-01,0,Weekday
00,2012-10-01,5,Weekday
00,2012-10-01,10,Weekday
00,2012-10-01,15,Weekday
00,2012-10-01,20,Weekday
00,2012-10-01,25,Weekday
00,2012-10-01,30,Weekday
00,2012-10-01,35,Weekday
00,2012-10-01,40,Weekday
00,2012-10-01,45,Weekday
00,2012-10-01,50,Weekday
00,2012-10-01,55,Weekday
00,2012-10-01,100,Weekday
00,2012-10-01,105,Weekday
00,2012-10-01,110,Weekday
00,2012-10-01,115,Weekday
00,2012-10-01,120,Weekday
00,2012-10-01,125,Weekday
00,2012-10-01,130,Weekday
00,2012-10-01,135,Weekday
00,2012-10-01,140,Weekday
00,2012-10-01,145,Weekday
00,2012-10-01,150,Weekday
00,2012-10-01,155,Weekday
00,2012-10-01,200,Weekday
00,2012-10-01,205,Weekday
00,2012-10-01,210,Weekday
00,2012-10-01,215,Weekday
00,2012-10-01,220,Weekday
00,2012-10-01,225,Weekday
00,2012-10-01,230,Weekday
00,2012-10-01,235,Weekday
00,2012-10-01,240,Weekday
00,2012-10-01,245,Weekday
00,2012-10-01,250,Weekday
00,2012-10-01,255,Weekday
00,2012-10-01,300,Weekday
00,2012-10-01,305,Weekday
00,2012-10-01,310,Weekday
00,2012-10-01,315,Weekday
00,2012-10-01,320,Weekday
00,2012-10-01,325,Weekday
00,2012-10-01,330,Weekday
00,2012-10-01,335,Weekday
00,2012-10-01,340,Weekday
00,2012-10-01,345,Weekday
00,2012-10-01,350,Weekday
00,2012-10-01,355,Weekday
00,2012-10-01,400,Weekday
00,2012-10-01,405,Weekday
00,2012-10-01,410,Weekday
00,2012-10-01,415,Weekday
00,2012-10-01,420,Weekday
00,2012-10-01,425,Weekday
00,2012-10-01,430,Weekday
00,2012-10-01,435,Weekday
00,2012-10-01,440,Weekday
00,2012-10-01,445,Weekday
00,2012-10-01,450,Weekday
00,2012-10-01,455,Weekday
00,2012-10-01,500,Weekday
00,2012-10-01,505,Weekday
00,2012-10-01,510,Weekday
00,2012-10-01,515,Weekday
00,2012-10-01,520,Weekday
00,2012-10-01,525,Weekday
00,2012-10-01,530,Weekday
00,2012-10-01,535,Weekday
00,2012-10-01,540,Weekday
00,2012-10-01,545,Weekday
00,2012-10-01,550,Weekday
00,2012-10-01,555,Weekday
00,2012-10-01,600,Weekday
00,2012-10-01,605,Weekday
00,2012-10-01,610,Weekday
00,2012-10-01,615,Weekday
00,2012-10-01,620,Weekday
00,2012-10-01,625,Weekday
00,2012-10-01,630,Weekday
00,2012-10-01,635,Weekday
00,2012-10-01,640,Weekday
00,2012-10-01,645,Weekday
00,2012-10-01,650,Weekday
00,2012-10-01,655,Weekday
00,2012-10-01,700,Weekday
00,2012-10-01,705,Weekday
00,2012-10-01,710,Weekday
00,2012-10-01,715,Weekday
00,2012-10-01,720,Weekday
00,2012-10-01,725,Weekday
00,2012-10-01,730,Weekday
00,2012-10-01,735,Weekday
00,2012-10-01,740,Weekday
00,2012-10-01,745,Weekday
00,2012-10-01,750,Weekday
00,2012-10-01,755,Weekday
00,2012-10-01,800,Weekday
00,2012-10-01,805,Weekday
00,2012-10-01,810,Weekday
00,2012-10-01,815,Weekday
00,2012-10-01,820,Weekday
00,2012-10-01,825,Weekday
00,2012-10-01,830,Weekday
00,2012-10-01,835,Weekday
00,2012-10-01,840,Weekday
00,2012-10-01,845,Weekday
00,2012-10-01,850,Weekday
00,2012-10-01,855,Weekday
00,2012-10-01,900,Weekday
00,2012-10-01,905,Weekday
00,2012-10-01,910,Weekday
00,2012-10-01,915,Weekday
00,2012-10-01,920,Weekday
00,2012-10-01,925,Weekday
00,2012-10-01,930,Weekday
00,2012-10-01,935,Weekday
00,2012-10-01,940,Weekday
00,2012-10-01,945,Weekday
00,2012-10-01,950,Weekday
00,2012-10-01,955,Weekday
00,2012-10-01,1000,Weekday
00,2012-10-01,1005,Weekday
00,2012-10-01,1010,Weekday
00,2012-10-01,1015,Weekday
00,2012-10-01,1020,Weekday
00,2012-10-01,1025,Weekday
00,2012-10-01,1030,Weekday
00,2012-10-01,1035,Weekday
00,2012-10-01,1040,Weekday
00,2012-10-01,1045,Weekday
00,2012-10-01,1050,Weekday
00,2012-10-01,1055,Weekday
00,2012-10-01,1100,Weekday
00,2012-10-01,1105,Weekday
00,2012-10-01,1110,Weekday
00,2012-10-01,1115,Weekday
00,2012-10-01,1120,Weekday
00,2012-10-01,1125,Weekday
00,2012-10-01,1130,Weekday
00,2012-10-01,1135,Weekday
00,2012-10-01,1140,Weekday
00,2012-10-01,1145,Weekday
00,2012-10-01,1150,Weekday
00,2012-10-01,1155,Weekday
00,2012-10-01,1200,Weekday
00,2012-10-01,1205,Weekday
00,2012-10-01,1210,Weekday
00,2012-10-01,1215,Weekday
00,2012-10-01,1220,Weekday
00,2012-10-01,1225,Weekday
00,2012-10-01,1230,Weekday
00,2012-10-01,1235,Weekday
00,2012-10-01,1240,Weekday
00,2012-10-01,1245,Weekday
00,2012-10-01,1250,Weekday
00,2012-10-01,1255,Weekday
00,2012-10-01,1300,Weekday
00,2012-10-01,1305,Weekday
00,2012-10-01,1310,Weekday
00,2012-10-01,1315,Weekday
00,2012-10-01,1320,Weekday
00,2012-10-01,1325,Weekday
00,2012-10-01,1330,Weekday
00,2012-10-01,1335,Weekday
00,2012-10-01,1340,Weekday
00,2012-10-01,1345,Weekday
00,2012-10-01,1350,Weekday
00,2012-10-01,1355,Weekday
00,2012-10-01,1400,Weekday
00,2012-10-01,1405,Weekday
00,2012-10-01,1410,Weekday
00,2012-10-01,1415,Weekday
00,2012-10-01,1420,Weekday
00,2012-10-01,1425,Weekday
00,2012-10-01,1430,Weekday
00,2012-10-01,1435,Weekday
00,2012-10-01,1440,Weekday
00,2012-10-01,1445,Weekday
00,2012-10-01,1450,Weekday
00,2012-10-01,1455,Weekday
00,2012-10-01,1500,Weekday
00,2012-10-01,1505,Weekday
00,2012-10-01,1510,Weekday
00,2012-10-01,1515,Weekday
00,2012-10-01,1520,Weekday
00,2012-10-01,1525,Weekday
00,2012-10-01,1530,Weekday
00,2012-10-01,1535,Weekday
00,2012-10-01,1540,Weekday
00,2012-10-01,1545,Weekday
00,2012-10-01,1550,Weekday
00,2012-10-01,1555,Weekday
00,2012-10-01,1600,Weekday
00,2012-10-01,1605,Weekday
00,2012-10-01,1610,Weekday
00,2012-10-01,1615,Weekday
00,2012-10-01,1620,Weekday
00,2012-10-01,1625,Weekday
00,2012-10-01,1630,Weekday
00,2012-10-01,1635,Weekday
00,2012-10-01,1640,Weekday
00,2012-10-01,1645,Weekday
00,2012-10-01,1650,Weekday
00,2012-10-01,1655,Weekday
00,2012-10-01,1700,Weekday
00,2012-10-01,1705,Weekday
00,2012-10-01,1710,Weekday
00,2012-10-01,1715,Weekday
00,2012-10-01,1720,Weekday
00,2012-10-01,1725,Weekday
00,2012-10-01,1730,Weekday
00,2012-10-01,1735,Weekday
00,2012-10-01,1740,Weekday
00,2012-10-01,1745,Weekday
00,2012-10-01,1750,Weekday
00,2012-10-01,1755,Weekday
00,2012-10-01,1800,Weekday
00,2012-10-01,1805,Weekday
00,2012-10-01,1810,Weekday
00,2012-10-01,1815,Weekday
00,2012-10-01,1820,Weekday
00,2012-10-01,1825,Weekday
00,2012-10-01,1830,Weekday
00,2012-10-01,1835,Weekday
00,2012-10-01,1840,Weekday
00,2012-10-01,1845,Weekday
00,2012-10-01,1850,Weekday
00,2012-10-01,1855,Weekday
00,2012-10-01,1900,Weekday
00,2012-10-01,1905,Weekday
00,2012-10-01,1910,Weekday
00,2012-10-01,1915,Weekday
00,2012-10-01,1920,Weekday
00,2012-10-01,1925,Weekday
00,2012-10-01,1930,Weekday
00,2012-10-01,1935,Weekday
00,2012-10-01,1940,Weekday
00,2012-10-01,1945,Weekday
00,2012-10-01,1950,Weekday
00,2012-10-01,1955,Weekday
00,2012-10-01,2000,Weekday
00,2012-10-01,2005,Weekday
00,2012-10-01,2010,Weekday
00,2012-10-01,2015,Weekday
00,2012-10-01,2020,Weekday
00,2012-10-01,2025,Weekday
00,2012-10-01,2030,Weekday
00,2012-10-01,2035,Weekday
00,2012-10-01,2040,Weekday
00,2012-10-01,2045,Weekday
